,uni_adm_yr,gender,age,hsc_pass_yr,curr_semester,scholarship,uni_transport_use,study_hrs_day,study_seat_day,pref_learn_mode,smart_phone_use,personal_comp,socialmed_hrs_day,eng_proficiency,avg_class_attend_perc,probation_record,suspension_record,teacher_consult,skills,skills_hrs_day,relationship_status,co_curricular_activity,co_living,health_issues,previous_sGPA,physical_disability,curr_cGPA,credits_completed,fam_income_month,curr_cGPA_binary,curr_cGPA_quaternary,curr_cGPA_ternary
241,2020,Male,21,2019,8,No,No,1,1,Online,Yes,Yes,1,Advance,80,No,No,Yes,"Programming, Web development skill(Frontend)",1,In a relationship,No,Bachelor,Yes,3.96,No,3.7,85,25000.0,1,3,2
242,2021,Female,21,2020,3,Yes,Yes,3,2,Offline,Yes,Yes,2,Intermediate,88,No,No,No,Programming,2,Single,No,Family,No,3.58,No,3.76,25,40000.0,1,3,2
243,2021,Male,20,2020,3,Yes,No,2,2,Online,Yes,Yes,4,Intermediate,99,No,No,Yes,Programming,2,In a relationship,Yes,Bachelor,No,3.79,No,3.91,23,50000.0,1,3,2
244,2021,Male,21,2019,5,No,No,1,2,Offline,Yes,Yes,1,Intermediate,94,No,Yes,Yes,"Programming, Cyber security, Networking, Content Writing, Graphics , Animation. ",3,Single,Yes,Bachelor,No,2.17,No,3.06,44,15000.0,1,2,1
246,2021,Female,21,2019,3,Yes,Yes,4,3,Online,Yes,Yes,1,Intermediate,99,No,No,No,Programming,2,Single,No,Family,No,3.72,No,3.67,25,35000.0,1,3,2
247,2020,Female,22,2018,8,No,No,4,2,Offline,Yes,Yes,2,Intermediate,98,No,No,No,Programming,2,Single,No,Family,No,2.83,No,2.82,65,25000.0,1,1,1
248,2022,Female,20,2020,2,Yes,Yes,2,1,Offline,Yes,Yes,2,Basic,95,No,No,Yes,Networking,1,Single,No,Family,Yes,3.88,No,3.88,11,35000.0,1,3,2
251,2021,Male,21,2020,3,Yes,No,3,2,Offline,Yes,Yes,1,Intermediate,98,No,No,Yes,"Programming, Web development skill(Backend)",1,Single,No,Family,No,2.82,No,3.0,23,25000.0,1,2,1
252,2022,Female,21,2019,2,Yes,Yes,2,2,Offline,Yes,Yes,1,Intermediate,100,No,No,No,Programming,1,Single,No,Family,No,3.9,No,3.9,11,50000.0,1,3,2
255,2021,Female,21,2020,3,Yes,No,3,1,Offline,Yes,No,3,Intermediate,70,No,No,Yes,Programming,5,Single,No,Family,Yes,2.68,No,2.89,23,40000.0,1,1,1
256,2021,Female,20,2019,2,No,No,3,2,Online,Yes,No,2,Intermediate,95,No,No,Yes,Programming,1,Single,No,Bachelor,Yes,3.84,No,3.84,11,30000.0,1,3,2
257,2021,Female,20,2016,3,Yes,No,2,1,Offline,Yes,No,1,Advance,75,No,No,Yes,Programming,1,Single,Yes,Family,No,3.54,No,3.69,25,20000.0,1,3,2
258,2021,Male,19,2020,3,Yes,Yes,2,1,Offline,Yes,Yes,3,Intermediate,90,No,No,No,Programming,1,Single,Yes,Family,Yes,2.32,No,2.8,24,35000.0,1,1,1
259,2022,Male,20,2020,2,Yes,No,3,1,Offline,Yes,Yes,3,Basic,90,No,No,No,Programming,2,Single,No,Bachelor,No,4.0,No,4.0,11,50000.0,1,3,2
260,2022,Male,20,2020,2,No,No,5,2,Offline,Yes,Yes,3,Basic,90,No,No,Yes,Programming,2,Single,No,Bachelor,No,3.8,No,3.8,12,20000.0,1,3,2
262,2022,Male,20,2020,2,No,No,2,3,Offline,Yes,No,1,Basic,95,No,No,Yes,"Programming, Volunteering.",2,Single,Yes,Bachelor,No,3.05,No,3.05,12,25000.0,1,2,1
264,2022,Male,20,2020,4,Yes,Yes,4,2,Offline,Yes,Yes,3,Basic,95,Yes,Yes,Yes,Programming,2,Single,No,Bachelor,No,2.73,No,2.73,12,20000.0,1,1,1
266,2019,Female,20,2019,8,Yes,No,6,2,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,"Programming, Software  Development skill, Web development skill(Backend), Web development skill(Frontend)",2,Single,Yes,Family,No,3.96,No,3.94,85,100000.0,1,3,2
270,2022,Male,19,2020,4,Yes,Yes,5,2,Offline,Yes,Yes,2,Intermediate,98,Yes,No,Yes,"Programming, Software  Development skill, Networking",2,Single,Yes,Family,No,2.93,No,2.93,11,35000.0,1,1,1
271,2022,Male,20,2020,2,Yes,No,4,3,Online,Yes,Yes,2,Basic,100,No,No,No,Programming,2,Single,No,Family,No,3.81,No,3.81,12,50000.0,1,3,2
273,2022,Male,19,2020,2,Yes,No,3,1,Offline,Yes,Yes,3,Intermediate,100,Yes,No,Yes,"Programming, Strating....",1,Married,No,Family,No,3.25,No,3.25,10,50000.0,1,2,2
274,2022,Male,20,2020,2,Yes,No,3,2,Online,Yes,Yes,3,Basic,85,No,No,No,Programming,2,Single,No,Family,No,2.89,No,2.89,11,30000.0,1,1,1
